model,case_id,chain_type,expected_schema,runs,compliance_passes,compliance_rate,avg_elapsed_s,avg_tokens_per_sec,rubric_criteria_count,rubric_passed_total,rubric_rate,rubric_scorer,most_failed_rubric_criteria,judge_evaluations
gemma4:26b,intent_sum_001,intent_summarizer,SummarizedChunk,2,2,1.0,8.332,76.3,3,6,1.0,llm-judge,[],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': '""Ensures payment processing is idempotent by checking an idempotency key against previously processed requests, preventing duplicate charges via the Stripe client.""'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'PASS', 'evidence': '""Stripe""'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'Ensures payment processing is idempotent by checking an idempotency key against previously processed requests, preventing duplicate charges via the Stripe client.'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'PASS', 'evidence': 'Stripe'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
gemma4:26b,intent_sum_002,intent_summarizer,SummarizedChunk,2,2,1.0,8.662,76.06,3,6,1.0,llm-judge,[],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': 'Defines global configuration constants for the application, including database settings for Chroma, LLM parameters for Ollama, and operational thresholds for parsing and PII detection.'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'PASS', 'evidence': '[""ChromaDB"", ""Ollama"", ""Python""]'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': 'Defines global configuration constants for the application, including database settings for Chroma, LLM parameters for Ollama, and operational thresholds for parsing and PII detection.'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'PASS', 'evidence': 'ChromaDB'}]}]"
gemma4:26b,intent_sum_003,intent_summarizer,SummarizedChunk,2,2,1.0,7.643,75.74,3,4,0.6667,llm-judge,['intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': '""ChromaDB""'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': '""ChromaDB""'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': '""Logic""'}]}]"
gemma4:26b,intent_sum_004,intent_summarizer,SummarizedChunk,2,2,1.0,10.625,75.51,3,4,0.6667,llm-judge,['non-fatal failure handling mentioned or implied in intent_summary'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'to mitigate initial request latency caused by model loading'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'PASS', 'evidence': '""semantic_type"": ""Logic""'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'to mitigate initial request latency caused by model loading'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'PASS', 'evidence': '""semantic_type"": ""Logic""'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
gemma4:26b,intent_sum_005,intent_summarizer,SummarizedChunk,2,2,1.0,6.779,76.13,3,6,1.0,llm-judge,[],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'PASS', 'evidence': 'ensuring more recent information is prioritized during retrieval'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'PASS', 'evidence': 'temporal weighting'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'PASS', 'evidence': '""Implements a temporal weighting algorithm that boosts the importance of documents indexed within the last 180 days, allowing for recency-biased retrieval results.""'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'PASS', 'evidence': '""temporal weighting""'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}]}]"
gemma4:26b,snippet_sum_001,snippet_summarizer,,2,2,1.0,8.62,75.98,3,5,0.8333,llm-judge,['answer explains the quarantine-not-drop philosophy (not just mechanics)'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'evidence': 'If masking fails or confidence is below 0.8, the system quarantines the file ... displayed in a ""PII Review Queue"" panel in the Streamlit UI, where a user can manually approve or exclude the entries.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'PASS', 'evidence': 'If masking fails or confidence is below 0.8, the system quarantines the file ... where a user can manually approve or exclude the entries.'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'evidence': 'If masking fails or confidence is below 0.8, the system quarantines the file by adding a `[CONTENT_QUARANTINED]` sentinel, adding it to the `quarantined_files` list, and upserting it to ChromaDB ... displayed in a ""PII Review Queue"" panel in the Streamlit UI, where a user can manually approve or exclude the entries.'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'evidence': 'ABSENT'}]}]"
gemma4:26b,snippet_sum_002,snippet_summarizer,,2,2,1.0,7.287,76.09,3,5,0.8333,llm-judge,['mentions the operator.add reducer role in safe parallel accumulation'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'evidence': 'allowing files to be processed simultaneously in the Ollama request queue to maximize GPU utilization'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'PASS', 'evidence': 'The resulting summaries are then accumulated using `operator.add`'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'evidence': 'In contrast, a sequential loop would result in 200 sequential Ollama calls'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'evidence': 'This maximizes GPU utilization for the M4 Max MoE model'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'evidence': 'This maximizes GPU utilization ... whereas a sequential loop would result in 200 sequential Ollama calls.'}]}]"
gemma4:26b,snippet_sum_003,snippet_summarizer,,2,2,1.0,10.44,75.52,3,4,0.6667,llm-judge,['explains that throughput is equivalent — the decision is resource-based'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'evidence': '* **`gemma4:26b`**: Selected when RAM ≥ 16 GB.\n* **`gemma4:e4b`**: Selected when RAM is between 8-16 GB.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'evidence': 'While the `OLLAMA_MODEL` environment variable can set a preferred model, the `_check_memory()` function may override this setting on low-RAM machines.'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'evidence': 'RAM ≥ 16 GB: Uses `gemma4:26b`. RAM 8–16 GB: Uses `gemma4:e4b`.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'evidence': 'While the `OLLAMA_MODEL` environment variable can set a preferred model, the `_check_memory()` function may override this setting on low-RAM machines.'}]}]"
gemma4:26b,persona_syn_001,persona_synthesizer,PersonaProfile,2,2,1.0,13.684,73.7,4,7,0.875,llm-judge,['deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)'],"[{'run': 1, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'evidence': '""A defensive and contract-oriented developer who prioritizes data integrity and predictable execution. They favor a functional-lite architecture using factory closures and Pydantic models to enforce strict boundaries, avoiding the complexity of deep class hierarchies and global mutable state in favor of explicit, well-documented, and type-safe interfaces.""'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'PASS', 'evidence': '""They favor a functional-lite architecture using factory closures and Pydantic models to enforce strict boundaries""'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'evidence': '[""Pydantic-driven data modeling"", ""factory-based functional patterns"", ""strict type-annotated interfaces"", ""boundary-level input validation"", ""stateless/immutable-state preference""]'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'PASS', 'evidence': '[""may eschew standard object-oriented patterns in favor of closures"", ""potential for increased verbosity due to explicit error handling and boundary validation""]'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'evidence': 'A contract-driven developer who prioritizes structural integrity and predictability through heavy use of Pydantic models and type annotations. They favor a functional approach using factory closures over traditional class hierarchies and implement defensive programming via strict boundary validation and the avoidance of global mutable state.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'PASS', 'evidence': 'implement defensive programming via strict boundary validation and the avoidance of global mutable state'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'evidence': 'pydantic-driven data contracts, functional factory patterns, strict type-annotated interfaces, boundary-level input validation, stateless/immutable-focused design'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
gemma4:26b,persona_syn_002,persona_synthesizer,PersonaProfile,2,2,1.0,13.131,74.66,3,2,0.3333,llm-judge,"['profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'profile does not fabricate patterns not present in the tendency_data']","[{'run': 1, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'PASS', 'evidence': '""risk of event-loop blocking due to unmanaged synchronous/asynchronous mixing""'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'PASS', 'evidence': '""risk of event-loop blocking due to unmanaged synchronous/asynchronous mixing""'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
