model,case_id,chain_type,expected_schema,runs,compliance_passes,compliance_rate,avg_elapsed_s,avg_tokens_per_sec,rubric_criteria_count,rubric_passed_total,rubric_rate,rubric_scorer,most_failed_rubric_criteria,judge_evaluations
gemma4:e4b,intent_sum_001,intent_summarizer,SummarizedChunk,2,2,1.0,1.409,76.44,3,4,0.6667,llm-judge,"['tech_stack includes at least one of: Stripe, payments, financial']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'ensuring idempotency. It checks a local cache using the idempotency key to prevent redundant charges'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'ensuring idempotency... to prevent redundant charges'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
gemma4:e4b,intent_sum_002,intent_summarizer,SummarizedChunk,2,2,1.0,1.08,76.2,3,4,0.6667,llm-judge,['tech_stack includes ChromaDB or Ollama'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': 'This file centralizes various application configuration constants, defining parameters such as database collection names, external service endpoints (Ollama), worker counts, file paths, and operational thresholds.'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': '""This file centralizes various application configuration constants, defining parameters such as database collection names, external service endpoints (Ollama), worker counts, file paths, and operational thresholds.""'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': '""semantic_type"": ""Config""'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
gemma4:e4b,intent_sum_003,intent_summarizer,SummarizedChunk,2,2,1.0,1.342,76.25,3,4,0.6667,llm-judge,['intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'Provides a client wrapper for ChromaDB designed to idempotently upsert document chunks. It checks for existing content hashes and updates metadata if the content exists but the file path changes, or inserts new chunks otherwise.'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': '""ChromaDB""'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': '""Provides a client wrapper for ChromaDB designed to idempotently upsert document chunks. It checks for existing content hashes and updates metadata if the content exists but the file path changes, or inserts new chunks otherwise.""'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': 'ChromaDB'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
gemma4:e4b,intent_sum_004,intent_summarizer,SummarizedChunk,2,2,1.0,1.397,75.94,3,2,0.3333,llm-judge,"['non-fatal failure handling mentioned or implied in intent_summary', 'semantic_type is Config or Logic']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'This proactive step minimizes the latency experienced by the user on the very first request after deployment or restart.'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'FAIL', 'evidence': '""semantic_type"": ""Boilerplate""'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'This proactive step minimizes the latency experienced by the user on the very first request after deployment or restart.'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'FAIL', 'evidence': '""semantic_type"": ""Boilerplate""'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
gemma4:e4b,intent_sum_005,intent_summarizer,SummarizedChunk,2,2,1.0,1.194,76.15,3,3,0.5,llm-judge,"['tech_stack includes at least: embeddings or persona or weighting', 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'PASS', 'evidence': 'It boosts the weight of documents indexed within the last 180 days, prioritizing recent content.'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
gemma4:e4b,snippet_sum_001,snippet_summarizer,,2,2,1.0,8.13,75.17,3,4,0.6667,llm-judge,['answer explains the quarantine-not-drop philosophy (not just mechanics)'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'evidence': '""The Streamlit application renders a dedicated \\""PII Review Queue\\"" panel by querying ChromaDB for all entries where `semantic_type=quarantine`, allowing a user to manually approve or exclude the quarantined content.""'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the quarantine-not-drop philosophy (not just mechanics)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'covers both the pipeline behaviour AND the UI review path', 'verdict': 'PASS', 'evidence': '""User Review: The Streamlit Command Center detects these quarantined entries by querying ChromaDB for `semantic_type=quarantine`, presenting them in a dedicated PII Review Queue panel where the user can approve or exclude the content.""'}, {'criterion': 'does not expose internal ChromaDB IDs or stack traces in the response', 'verdict': 'PASS', 'evidence': 'ABSENT'}]}]"
gemma4:e4b,snippet_sum_002,snippet_summarizer,,2,2,1.0,5.73,75.08,3,4,0.6667,llm-judge,['mentions the operator.add reducer role in safe parallel accumulation'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'evidence': 'to achieve maximum GPU utilization ... significantly improving throughput'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'evidence': 'The sync pipeline uses `Send` to achieve maximum GPU utilization... A sequential loop, by contrast, would execute 200 separate, blocking Ollama calls'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains the throughput motivation (GPU saturation), not just the API mechanics', 'verdict': 'PASS', 'evidence': '""achieve maximum GPU utilization"" and ""significantly improving throughput""'}, {'criterion': 'mentions the operator.add reducer role in safe parallel accumulation', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'answer is actionable — a developer could understand when to use this pattern vs a loop', 'verdict': 'PASS', 'evidence': '""A sequential loop, by contrast, would execute 200 separate, blocking Ollama calls"" and ""This parallel approach allows the M4 Max MoE model to process files concurrently, significantly improving throughput""'}]}]"
gemma4:e4b,snippet_sum_003,snippet_summarizer,,2,2,1.0,6.705,75.03,3,4,0.6667,llm-judge,['explains that throughput is equivalent — the decision is resource-based'],"[{'run': 1, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'evidence': '* RAM ≥ 16 GB: Uses `gemma4:26b`. * RAM 8–16 GB: Uses `gemma4:e4b`.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'evidence': 'override the model set by the `OLLAMA_MODEL` environment variable'}]}, {'run': 2, 'evaluations': [{'criterion': 'answer explains both the preference (26b) and the fallback trigger (< 16 GB RAM)', 'verdict': 'PASS', 'evidence': '*   **RAM $ge$ 16 GB:** Uses `gemma4:26b`.\n*   **RAM 8–16 GB:** Uses `gemma4:e4b`.'}, {'criterion': 'explains that throughput is equivalent — the decision is resource-based', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mentions the OLLAMA_MODEL env var for operator control', 'verdict': 'PASS', 'evidence': 'The system selects the model based primarily on the available RAM, which can override the model set by the `OLLAMA_MODEL` environment variable.'}]}]"
gemma4:e4b,persona_syn_001,persona_synthesizer,PersonaProfile,2,2,1.0,14.866,73.96,4,5,0.625,llm-judge,"[""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)']","[{'run': 1, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'evidence': '""style_summary"": ""A highly defensive, contract-first developer who prioritizes data integrity and explicit interfaces. Their philosophy centers on building robust, testable systems by defining strict data contracts (Pydantic) and validating all inputs at system boundaries. They favor composition and functional purity over deep inheritance or mutable global state, treating the system as a collection of well-defined, typed services.""'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'evidence': '""dominant_patterns"": [""data-contract-first modelling (Pydantic)"", ""strict type annotation enforcement"", ""composition via factory closures"", ""boundary input validation"", ""functional purity (avoiding global state)""]'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile synthesises patterns into a coherent developer archetype — not just a list of traits', 'verdict': 'PASS', 'evidence': 'A highly defensive, contract-first developer who prioritizes data integrity and explicit interfaces. Their philosophy centers on building robust, testable systems by defining strict data contracts (Pydantic) and validating all inputs at system boundaries. They favor composition and functional purity over deep inheritance or mutable global state, treating the system as a collection of well-defined, typed services.'}, {'criterion': ""mentions at least one actionable style guideline a reviewer could apply when reading this developer's PRs"", 'verdict': 'PASS', 'evidence': 'validating all inputs at system boundaries'}, {'criterion': ""profile is specific enough to be useful for coaching (not generic like 'writes clean code')"", 'verdict': 'PASS', 'evidence': '[""data-contract-first modelling (Pydantic)"", ""strict type annotation enforcement"", ""composition via factory closures"", ""boundary input validation"", ""functional purity (avoiding global state)""]'}, {'criterion': 'deviation_tendencies or anti-patterns field reflects absence of patterns (e.g. no async/await pattern observed)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
gemma4:e4b,persona_syn_002,persona_synthesizer,PersonaProfile,2,2,1.0,10.425,74.85,3,0,0.0,llm-judge,"['profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'profile does not fabricate patterns not present in the tendency_data']","[{'run': 1, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'profile notes the small sample size (12 docs) as a confidence qualifier — low data should lower certainty', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'mixes_sync_and_async_calls is flagged as a risk pattern, not just described neutrally', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'profile does not fabricate patterns not present in the tendency_data', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
