model,case_id,chain_type,expected_schema,runs,compliance_passes,compliance_rate,avg_elapsed_s,avg_tokens_per_sec,rubric_criteria_count,rubric_passed_total,rubric_rate,rubric_scorer,most_failed_rubric_criteria,judge_evaluations
phi4-mini,intent_sum_001,intent_summarizer,SummarizedChunk,3,3,1.0,1.225,105.59,3,9,1.0,llm-judge,[],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'Ensures that repeated payment requests with the same idempotency key do not trigger multiple charges by caching previous results to prevent duplicate processing.'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'PASS', 'evidence': '_stripe_client.charge'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'Ensures that repeated payment requests with the same idempotency key do not trigger multiple charges by caching previous results to prevent duplicate processing.'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'PASS', 'evidence': '_stripe_client.charge'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'Ensures that repeated payment requests with the same idempotency key do not trigger multiple charges by caching previous results to prevent duplicate processing.'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'PASS', 'evidence': '_stripe_client.charge'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
phi4-mini,intent_sum_002,intent_summarizer,SummarizedChunk,3,3,1.0,0.71,109.58,3,6,0.6667,llm-judge,['tech_stack includes ChromaDB or Ollama'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': 'Defines configuration constants for a system, likely related to an AI or machine learning application involving chroma collection and OLLAMA model interactions.'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': '""Defines configuration constants for a system, likely related to an AI or machine learning application involving chroma collection and OLLAMA model interactions.""'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': '""Config""'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'PASS', 'evidence': '""Defines configuration constants for a system, likely related to an AI or machine learning application involving chroma collection and OLLAMA model interactions.""'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': '""Config""'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
phi4-mini,intent_sum_003,intent_summarizer,SummarizedChunk,3,3,1.0,0.831,108.19,3,6,0.6667,llm-judge,['intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': 'ChromaDB'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': 'ChromaDB'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains the three-case upsert contract and WHY it prevents duplicate indexing', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB', 'verdict': 'PASS', 'evidence': 'ChromaDB'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}]}]"
phi4-mini,intent_sum_004,intent_summarizer,SummarizedChunk,3,3,1.0,0.717,109.19,3,6,0.6667,llm-judge,['non-fatal failure handling mentioned or implied in intent_summary'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'to mitigate cold-start latency'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'PASS', 'evidence': 'Logic'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': '""to mitigate cold-start latency""'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY warmup matters (cold-start latency elimination), not just WHAT the function does', 'verdict': 'PASS', 'evidence': 'to mitigate cold-start latency'}, {'criterion': 'semantic_type is Config or Logic', 'verdict': 'PASS', 'evidence': 'Logic'}, {'criterion': 'non-fatal failure handling mentioned or implied in intent_summary', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
phi4-mini,intent_sum_005,intent_summarizer,SummarizedChunk,3,3,1.0,0.739,108.67,3,3,0.3333,llm-judge,"['tech_stack includes at least: embeddings or persona or weighting', 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY temporal weighting prevents stale tendencies from dominating persona', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least: embeddings or persona or weighting', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}]}]"
phi4-mini,intent_sum_006,intent_summarizer,SummarizedChunk,3,3,1.0,0.749,107.8,3,6,0.6667,llm-judge,['intent_summary explains WHY this pre-processing step exists before Presidio (fast regex for known patterns)'],"[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY this pre-processing step exists before Presidio (fast regex for known patterns)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}, {'criterion': 'tech_stack does not incorrectly tag this as a Presidio node — this is pure regex', 'verdict': 'PASS', 'evidence': '[""re"", ""regex""]'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY this pre-processing step exists before Presidio (fast regex for known patterns)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}, {'criterion': 'tech_stack does not incorrectly tag this as a Presidio node — this is pure regex', 'verdict': 'PASS', 'evidence': '[""re"", ""regex""]'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY this pre-processing step exists before Presidio (fast regex for known patterns)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic', 'verdict': 'PASS', 'evidence': '""Logic""'}, {'criterion': 'tech_stack does not incorrectly tag this as a Presidio node — this is pure regex', 'verdict': 'PASS', 'evidence': '[""re"", ""regex""]'}]}]"
phi4-mini,intent_sum_007,intent_summarizer,SummarizedChunk,3,3,1.0,0.746,109.46,3,3,0.3333,llm-judge,"['intent_summary explains WHY debouncing is necessary (file save events fire multiple times per logical save)', 'tech_stack includes Watchdog']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY debouncing is necessary (file save events fire multiple times per logical save)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}, {'criterion': 'tech_stack includes Watchdog', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY debouncing is necessary (file save events fire multiple times per logical save)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}, {'criterion': 'tech_stack includes Watchdog', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY debouncing is necessary (file save events fire multiple times per logical save)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'PASS', 'evidence': 'Logic'}, {'criterion': 'tech_stack includes Watchdog', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
phi4-mini,intent_sum_008,intent_summarizer,SummarizedChunk,3,3,1.0,0.811,110.05,3,6,0.6667,llm-judge,"['intent_summary explains the quality gate philosophy (80% coverage threshold as CI gate, not a suggestion)']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains the quality gate philosophy (80% coverage threshold as CI gate, not a suggestion)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': '""Config""'}, {'criterion': 'tech_stack includes pytest and ruff', 'verdict': 'PASS', 'evidence': '[""pytest"", ""coverage.py"", ""ruff.lint""]'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains the quality gate philosophy (80% coverage threshold as CI gate, not a suggestion)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes pytest and ruff', 'verdict': 'PASS', 'evidence': '[""pytest"", ""ruff.lint""]'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains the quality gate philosophy (80% coverage threshold as CI gate, not a suggestion)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'PASS', 'evidence': 'Config'}, {'criterion': 'tech_stack includes pytest and ruff', 'verdict': 'PASS', 'evidence': '[""pytest"",""ruff.lint""]'}]}]"
qwen3:4b,intent_sum_001,intent_summarizer,SummarizedChunk,3,0,0.0,10.995,99.83,3,0,0.0,llm-judge,"['intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'tech_stack includes at least one of: Stripe, payments, financial', 'semantic_type is Logic or Interface']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY idempotency is needed (duplicate payment prevention), not just WHAT the function does', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes at least one of: Stripe, payments, financial', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Logic or Interface', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
qwen3:4b,intent_sum_002,intent_summarizer,SummarizedChunk,3,0,0.0,10.636,99.72,3,0,0.0,llm-judge,"['tech_stack includes ChromaDB or Ollama', 'semantic_type is Config', 'intent_summary explains WHY these settings exist (system tuning, not just variable names)']","[{'run': 1, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 2, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}, {'run': 3, 'evaluations': [{'criterion': 'intent_summary explains WHY these settings exist (system tuning, not just variable names)', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'semantic_type is Config', 'verdict': 'FAIL', 'evidence': 'ABSENT'}, {'criterion': 'tech_stack includes ChromaDB or Ollama', 'verdict': 'FAIL', 'evidence': 'ABSENT'}]}]"
